Date,Time,Scheduled,Next1,Next2,Next3,Next4
1/31/2018,14:00,1,3/21/2018,5/2/2018,6/13/2018,8/1/2018
3/21/2018,14:00,1,5/2/2018,6/13/2018,8/1/2018,9/26/2018
5/2/2018,14:00,1,6/13/2018,8/1/2018,9/26/2018,11/8/2018
6/13/2018,14:00,1,8/1/2018,9/26/2018,11/8/2018,12/19/2018
8/1/2018,14:00,1,9/26/2018,11/8/2018,12/19/2018,1/30/2019
9/26/2018,14:00,1,11/8/2018,12/19/2018,1/30/2019,3/20/2019
11/8/2018,14:00,1,12/19/2018,1/30/2019,3/20/2019,5/1/2019
12/19/2018,14:00,1,1/30/2019,3/20/2019,5/1/2019,6/19/2019
1/30/2019,14:00,1,3/20/2019,5/1/2019,6/19/2019,7/31/2019
3/20/2019,14:00,1,5/1/2019,6/19/2019,7/31/2019,9/18/2019
5/1/2019,14:00,1,6/19/2019,7/31/2019,9/18/2019,10/30/2019
6/19/2019,14:00,1,7/31/2019,9/18/2019,10/30/2019,12/11/2019
7/31/2019,14:00,1,9/18/2019,10/30/2019,12/11/2019,1/29/2020
9/18/2019,14:00,1,10/30/2019,12/11/2019,1/29/2020,3/18/2020
10/11/2019,11:00,0,10/30/2019,12/11/2019,1/29/2020,3/18/2020
10/30/2019,14:00,1,12/11/2019,1/29/2020,3/18/2020,4/29/2020
12/11/2019,14:00,1,1/29/2020,3/18/2020,4/29/2020,6/10/2020
1/29/2020,14:00,1,3/18/2020,4/29/2020,6/10/2020,7/29/2020
